"id","label","location","sentiment_score","followers_count"
"x1004007822","News247fr","France",3,58
"x3917392222","marilynlabasque","France",3,63
"x472919442","uncitoyen1","France",3,64
"x127122370","Horustouti","France",3,65
"x1320452947772379141","PTerraterre","France",3,82
"x764835348140687360","dailybobbybotom","France",3,93
"x1000481385579151360","jerem_72444","France",3,104
"x991993775974174721","Bonnan13","France",3,104
"x99517501","pierraf","France",3,113
"x15762440","alexis_ferrero","France",3,116
"x833791537821650946","PHILM7777","France",3,119
"x1033059046742519808","F1000pounds","France",3,119
"x1131983253886382080","pctjte","France",3,126
"x563406533","chuiuncouillon","France",3,132
"x1328343689526202371","GSK_FR","France",3,137
"x479980548","Arsnpo","France",3,141
"x143827373","Ariane56","France",3,143
"x1283294570613178368","Lemachiniste2","France",3,145
"x966710411620909056","hyxx_or","France",3,152
"x927848702391275520","chezpasdur","France",6,173
"x361507437","MWN_BEN","France",3,160
"x756564664553705472","jacomarco04","France",3,179
"x1347939129892462592","CitiZen_RR","France",3,185
"x2180443336","DestDestais","France",3,187
"x1311032864759308290","MediaFrance24","France",3,193
"x1069266575906226182","ChristianSean17","France",3,198
"x339581928","urls_fr","France",3,201
"x759873092","jjdonzeaud","France",3,214
"x2803435296","mag_magnier","France",3,229
"x83701865","ProfitJim","France",6,235
"x3405431867","Lorencia_Win","France",3,241
"x1224140738","elca_92","France",3,243
"x3720058461","menad_ait","France",3,264
"x3246258225","Actusante_net","France",3,298
"x749565826697682944","christi13per","France",3,306
"x757245882","Gawake2020","France",3,310
"x377320845","Aviaponcho","France",3,315
"x1096440014018359297","Miette_Poete","France",3,339
"x1054819552696197122","ScheinbergN","France",3,347
"x793201116527882240","mcflydoct","France",3,348
"x308462609","drac_miss","France",3,352
"x978533697606561792","Filieris","France",3,360
"x995002926446850049","zanfr","France",3,364
"x210569435","masantefacile","France",3,366
"x912422012794081281","Gabriel77265734","France",3,370
"x182819376","Brindmine1708","France",3,429
"x811933710","kerdan","France",3,436
"x195869573","CoeurJoly","France",6,481
"x3088748631","Medecin2famille","France",3,504
"x385869391","fabiennelabarou","France",3,534
"x1216537392","zetalo9","France",3,545
"x305688975","Garcon_Bruno","France",3,550
"x2328788477","evarev1","France",3,578
"x1314836224570466304","ORNBTC","France",6,623
"x311119089","mamyliberte","France",3,638
"x18025004","tshirtman","France",6,645
